label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.4,1.94,-0.206,-12.33,34.7,5330
GOOD,0.01,2.71,0.003,-8.76,50.6,2371
NEUTRAL,0.16,0.37,0.419,-0.19,0.3,1482
BAD,-1.61,1.27,-1.269,-9.66,43.8,1477
