date,UK_1Y,UK_2Y,UK_3Y,UK_5Y,UK_10Y,UK_20Y
2001-03-22,0.0008790124104573234,-0.0,0.0007355960372604846,0.001250682502383949,0.0019151202997145706,-0.0
2001-03-23,-0.0004502986970058596,-0.0002,-0.0036528309983497893,-0.0014711215539364062,0.0008794298723897813,-0.0
2001-03-26,0.0,0.0008985549323741411,0.0007959937130908649,0.0014010220833525718,0.00399661559134947,0.0
2001-03-27,-0.0,5.973769808540174e-05,-0.0005022071547877144,-0.0009002548744942543,0.0,0.0
2001-03-28,0.0,0.002178624130131025,0.004020294156634392,0.0043696619646464655,-0.0,0.0
2001-03-29,-0.0,-0.0,-0.0,0.0,0.0,-0.0
2001-03-30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2001-04-02,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-04-03,-0.0,0.0,-0.0002,-0.0002,0.0,0.0
2001-04-04,0.0,0.0,-0.0009878903598912136,-0.001226834060017261,0.0,-0.0002
2001-04-05,-0.0,-0.0,0.0011835995761503438,0.0022062845722241493,-0.0,0.0006350442968775027
2001-04-06,0.0,-0.0,0.0010672140525408926,-0.0,0.0,0.0010478921041071055
2001-04-09,0.0,0.0,-0.0011543386297316518,0.0,0.0,0.0019456358853254395
2001-04-10,0.0,0.0,0.00016906103079711543,-0.0,0.0,0.0
2001-04-11,-0.0,-0.0,0.001078516532714119,-0.0,0.0,0.0
2001-04-12,-0.0,-0.0002,-0.0002,-0.0,-0.0,0.0
2001-04-13,-0.0,-0.0007420074940381701,-0.001154059873209482,-0.0,0.0,0.0
2001-04-16,-0.0,-0.0008971514695763206,-0.0007905609262745012,-0.0002,-0.0,-0.0
2001-04-17,-0.0,-0.0005158752575738948,-0.00048133459945391704,-0.00040817173051356704,-0.0,-0.0
2001-04-18,-0.0,-0.001142378797151404,-0.0011180173748100897,-0.001646084241249581,-0.0002,-0.0
2001-04-19,-0.0,4.122186460398963e-05,-0.00015078248448733948,-0.0015409024381648248,-0.004218326941830355,-0.0
2001-04-20,0.0,0.00018577965553634473,-0.00025300556091203724,-0.0002519527743981137,-0.0007068233434519721,-0.0002
2001-04-23,-0.0,-0.0006572424616072311,-0.0004000080594281864,-0.000110515327491218,-0.0005220303302374792,0.0048595042221284785
2001-04-24,0.0,0.0031798276285800314,0.0027115332139126683,0.0020970062661322397,0.0021180214884398483,-0.0002
