label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.75,2.3,-0.328,-20.56,32.6,5330
GOOD,-1.09,3.07,-0.354,-17.55,45.5,2371
NEUTRAL,-0.0,0.18,-0.021,-0.51,0.1,1482
BAD,-0.97,1.97,-0.493,-7.38,44.4,1477
