label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.09,0.57,-0.154,-3.79,35.9,5329
GOOD,-0.04,0.7,-0.063,-3.26,49.7,2370
NEUTRAL,0.0,0.05,0.046,-0.08,0.2,1482
BAD,-0.25,0.63,-0.397,-2.32,49.5,1477
