label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.26,0.66,-0.393,-6.09,34.9,5329
GOOD,-0.3,0.74,-0.398,-3.2,48.0,2370
NEUTRAL,0.02,0.06,0.299,-0.04,0.2,1482
BAD,-0.47,0.81,-0.58,-4.47,48.7,1477
