date,daily_ret,cumulative_ret,drawdown
2005-12-29,-6.850546701743248e-06,-6.850546701797633e-06,0.0
2005-12-30,-0.00038509517740331937,-0.00039194308599266314,-0.00038509517740336295
2006-01-02,0.0007082572728078515,0.0003160365902741269,0.0
2006-01-03,-2.2526731237079972e-05,0.0002935027397656942,-2.252673123710251e-05
2006-01-04,4.9659840554782916e-05,0.0003431771556197116,0.0
2006-01-05,5.6275387874418415e-05,0.00039947185592148493,0.0
2006-01-06,3.22286119835863e-05,0.00043171334232861014,0.0
2006-01-09,-0.00014925763772270285,0.00028239126809226356,-0.00014925763772269724
2006-01-10,-0.00014632119046222632,0.0001360287578036079,-0.00029555698862959235
2006-01-11,-0.00011963732260826883,1.6375161079107414e-05,-0.00041515895159091376
2006-01-12,-5.899040069417998e-05,-4.261620559231627e-05,-0.0004741248618921179
2006-01-13,-0.00016501359335350951,-0.0002076227666926167,-0.0006390602181984791
2006-01-16,4.057958513045682e-05,-0.00016705160680796638,-0.0005985065658666207
2006-01-17,-0.0005770536175298971,-0.0007440088266038591,-0.0011752148130175874
2006-01-18,-0.0003496056583667461,-0.001093354375274913,-0.0015244096096358696
2006-01-19,8.999466637679144e-05,-0.0010034581049602753,-0.0014345521319932381
2006-01-20,1.8644841754450082e-06,-0.0010015954917165226,-0.0014326903225174768
2006-01-23,-1.32477095350879e-05,-0.0010148299324054255,-0.0014459190521872792
2006-01-24,6.486742903247837e-05,-0.0009500283327815717,-0.0013811454162063095
2006-01-25,0.0001143645110512526,-0.0008357724712559911,-0.0012669388591751807
2006-01-26,0.0004018797617876536,-0.0004342285895099218,-0.0008655682544743793
2006-01-27,-0.0002054181475585458,-0.000639557538635982,-0.0010708085986054939
2006-01-30,-0.00048126719331716865,-0.001120516933891591,-0.0015515604468738563
2006-01-31,4.258500643205226e-05,-0.0010779796446803713,-0.0015090415136534095
2006-02-01,3.3035546831665416e-05,-0.0010449797094957969,-0.001476055818833395
2006-02-02,0.0001316153758031254,-0.0009135018690898944,-0.0013446347146716226
2006-02-03,0.00010923863811256199,-0.0008043630206774344,-0.0012355429626240595
2006-02-06,0.0009199222397961663,0.00011481926768719397,-0.0003167573262773819
2006-02-07,-0.0003937041663140016,-0.00027893010345092506,-0.0007103367839123734
2006-02-08,-0.0005488125696515746,-0.0008275895927556398,-0.0012587595118082192
2006-02-09,0.0023677881015834188,0.0015382389520368633,0.0
2006-02-10,-2.7117334749582245e-05,0.001511079904346735,-2.711733474954128e-05
2006-02-13,-0.00012309473825514343,0.00138779916010634,-0.00015020873500340494
2006-02-14,2.9410577125999474e-05,0.0014172505532064061,-0.00012080257560315805
2006-02-15,0.00032114725368711687,0.0017388529530164565,0.0
2006-02-16,-0.0004273491075860804,0.0013107607481726014,-0.00042734910758615997
2006-02-17,3.344726204632902e-06,0.0013141098585129907,-0.00042400581074735166
2006-02-20,6.069452308531296e-05,0.0013748841408693924,-0.0003633370224925627
2006-02-21,-0.00014803397025990502,0.001226646641051543,-0.0005113172065304099
2006-02-22,0.00020006199629522787,0.001426954042722528,-0.00031135750537626114
2006-02-23,7.037549086434501e-05,0.0014974299561780757,-0.00024100392644918603
2006-02-24,-2.7969721270767474e-06,0.0014946287957811055,-0.0002438002244950417
2006-02-27,-6.850141634245811e-05,0.0014260249952493531,-0.00031228494017669455
2006-02-28,-9.145718692826151e-05,0.0013344373880865845,-0.0004037135664027597
2006-03-01,-7.893587763770042e-05,0.001255396175462442,-0.00048261757655584264
2006-03-02,0.00017137612263615884,0.0014269874430274943,-0.0003113241630486996
2006-03-03,-5.149732360815024e-05,0.0013754166333852513,-0.0003628054542956327
2006-03-06,-5.524763655294277e-07,0.0013748633971344404,-0.00036335773021982197
2006-03-07,4.3919624033849054e-05,0.001418843404651815,-0.0003194540647208485
2006-03-08,-0.00016742823638724104,0.0012511776138155462,-0.00048682881547750374
2006-03-09,-9.412341834632994e-05,0.0011569364303551932,-0.0005809064118316237
2006-03-10,-3.2792854200737564e-06,0.0011536533510103641,-0.000584183792293758
2006-03-13,0.00013763627807233985,0.0012914484136361537,-0.0004466279191042687
2006-03-14,-0.0001463951848323821,0.0011448641669744575,-0.0005929577197599804
2006-03-15,0.00019609580386475745,0.0013411844738981937,-0.00039697819241609687
2006-03-16,0.0004310871943222254,0.0017728498356723854,0.0
2006-03-17,-0.00018726218891960205,0.0015852556590119082,-0.00018726218891962338
2006-03-20,-8.490276498971663e-05,0.0015002183014334314,-0.00027214905483181705
2006-03-21,-0.000302760513826305,0.001197003580743372,-0.0005748271726704045
2006-03-22,-0.00019852010780557639,0.00099824584365793,-0.0007732331657236657
2006-03-23,-5.790106533853434e-05,0.0009402869788215362,-0.0008310894600381914
2006-03-24,0.00012959759827579318,0.00107000643603139,-0.0007015995689604561
2006-03-27,8.306783662619822e-05,0.0011531631557772926,-0.000618590012692742
2006-03-28,-0.0002631538019580634,0.0008897058945505076,-0.0008815810303371127
2006-03-29,2.183549151032579e-05,0.0009115608132261865,-0.0008597647885820443
2006-03-30,-1.6431835123294065e-05,0.0008951139994859414,-0.000876182496192051
2006-03-31,6.210053808673288e-05,0.0009572701246336468,-0.0008141363695098382
2006-04-03,-8.536793712462414e-05,0.0008718204673332508,-0.00089943480549202
2006-04-04,0.00015360355230555867,0.0010255579343594334,-0.0007459694095677831
2006-04-05,0.000314285126323949,0.001340165378288516,-0.00043191873033377343
2006-04-06,0.00015432356585934107,0.0014946957632480107,-0.0002776618197129242
2006-04-07,0.00014289995549823721,0.0016378093107043412,-0.0001348015420763258
2006-04-10,-0.00014384566084946307,0.0014937280580922252,-0.0002786278123088946
2006-04-11,-0.00010384129584550829,0.0013897316515896208,-0.0003824401750812174
2006-04-12,-0.00015654639670388096,0.00123296769740322,-0.0005389267021538125
2006-04-13,0.00011716933332665999,0.0013502814967329968,-0.0004218205145095571
2006-04-14,-2.1795854004425107e-09,0.0013502793142046166,-0.0004218226931754898
2006-04-17,8.395546561122585e-06,0.0013586861970984465,-0.0004134306880465736
2006-04-18,-0.00034970409080612434,0.001008506968171119,-0.0007629902004497795
2006-04-19,-0.00017758488222284106,0.0008307429903571251,-0.0009404395871477257
2006-04-20,0.00016769502072085815,0.000998577322540939,-0.000772902273462947
2006-04-21,0.00035100908944983507,0.0013499369217075952,-0.0004221644797362631
2006-04-24,0.00016710065696608832,0.001517263154020121,-0.00025513436673212905
2006-04-25,-4.786275935001795e-05,0.0014693277742690025,-0.0003029849146472393
2006-04-26,-0.00013372724503955073,0.0013354040400741507,-0.00043667164234885376
2006-04-27,-0.0004894292651492869,0.0008453211891068513,-0.000925887187617116
2006-04-28,-0.00033464815522245967,0.0005103901487080176,-0.0012602254964001647
2006-05-01,-7.165610744640902e-05,0.0004386974686902967,-0.0013317913009929735
2006-05-02,0.00032452912640379715,0.0007633689652004616,-0.0010076943796565416
2006-05-03,2.5486535677922883e-05,0.0007888749565088116,-0.0009822335266173184
2006-05-04,0.0004072095885522324,0.0011964057825075702,-0.000575423912975255
