label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.44,1.95,-0.226,-14.35,31.1,5317
GOOD,-0.59,2.53,-0.232,-10.14,44.6,1981
NEUTRAL,-0.08,0.16,-0.514,-0.54,0.0,1669
BAD,-0.63,2.12,-0.297,-8.42,46.3,1667
