label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.16,1.29,-0.125,-8.86,47.5,6636
GOOD,-0.4,1.13,-0.353,-9.09,47.7,3815
NEUTRAL,-0.2,1.5,-0.136,-3.68,47.3,1405
BAD,0.52,1.46,0.361,-2.46,47.4,1416
