date,state_0,state_1,state_2
2005-12-28,1.0,2.49019756891093e-309,0.0
2005-12-29,0.9999999985734576,1.425418196138775e-09,9.097210574132612e-13
2005-12-30,0.9999999985298018,1.4694908477397363e-09,9.275078805133918e-13
2006-01-02,0.9999999994147402,5.846852294147868e-10,3.611300821652657e-13
2006-01-03,0.999999999962256,3.780998266197663e-11,2.2143542476624275e-14
2006-01-04,0.9999999999563443,4.346016547673317e-11,2.5462957458900126e-14
2006-01-05,0.9999999999386091,6.137848666154368e-11,3.624873262921759e-14
2006-01-06,0.9999999998785825,1.2137286825307983e-10,7.295452956067016e-14
2006-01-09,0.9999999999995453,6.433611021109158e-13,3.4692833456074647e-16
2006-01-10,0.999999999996362,3.6707564805274454e-12,2.0666090484541817e-15
2006-01-11,0.9999999999995453,4.398824264170437e-13,2.315608668486749e-16
2006-01-12,1.0,6.47855832969753e-15,3.0873505199123308e-18
2006-01-13,1.0,7.907646990140804e-15,3.786905922676023e-18
2006-01-16,1.0,1.4848456816599765e-14,7.264058972962119e-18
2006-01-17,1.0,4.667201529738237e-14,2.3085096717449447e-17
2006-01-18,1.0,8.810711679285359e-14,4.41314596215341e-17
2006-01-19,1.0,1.3340634540229218e-13,6.751045544850537e-17
2006-01-20,0.9999999999995453,4.812748395641642e-13,2.5241763177672854e-16
2006-01-23,0.9999999999995453,2.3941200506317276e-13,1.2270012994430665e-16
2006-01-24,0.9999999999995453,6.648078201645834e-13,3.5151449285219967e-16
2006-01-25,0.9999999999986358,1.3724452327043315e-12,7.347001029355027e-16
2006-01-26,0.9999999999931788,6.729258934589551e-12,3.774851056982953e-15
2006-01-27,0.9999999999899956,9.918481231636398e-12,5.612739314447815e-15
2006-01-30,0.9999999999840838,1.577876416685708e-11,9.037837455939477e-15
2006-01-31,0.999999999994543,5.334374349754435e-12,3.000875677893812e-15
2006-02-01,0.9999999999995453,5.759182103569496e-13,3.116599402042384e-16
2006-02-02,0.9999999999990905,7.941976418909203e-13,4.383020100318697e-16
2006-02-03,1.0,1.833460413204924e-14,9.51273598773456e-18
2006-02-06,1.0,3.7265648250261234e-14,1.9625314782844025e-17
2006-02-07,0.9999999999995453,5.141071507179981e-13,2.8672697665498845e-16
2006-02-08,1.0,1.857531612664113e-13,1.0124038299344073e-16
2006-02-09,1.0,1.95348572884616e-15,9.929136072957105e-19
2006-02-10,1.0,2.419932534344441e-15,1.2356670686093798e-18
2006-02-13,1.0,2.9698314727113533e-15,1.5235418290610107e-18
2006-02-14,1.0,1.4362696813959415e-15,7.303973363542468e-19
2006-02-15,1.0,2.86003675144395e-17,1.3626430401721467e-20
2006-02-16,1.0,6.906197183348946e-17,3.366882967297843e-20
2006-02-17,1.0,2.2362678017687606e-16,1.1272434695183159e-19
2006-02-20,1.0,3.567001207959787e-16,1.8121555259662554e-19
2006-02-21,1.0,5.61709198972089e-16,2.875452222689566e-19
2006-02-22,1.0,2.6903743638709756e-16,1.3300929142583602e-19
2006-02-23,1.0,9.863190579725536e-17,4.773712329976301e-20
2006-02-24,1.0,1.2221144488896443e-16,5.93481190654013e-20
2006-02-27,1.0,4.943685224183095e-16,2.5343566514358194e-19
2006-02-28,1.0,2.6824691885080346e-15,1.3674316430919537e-18
2006-03-01,1.0,2.473665533424973e-14,1.6697223365518232e-16
2006-03-02,0.9999986207945274,1.3638269499527247e-06,1.5378333300937678e-08
2006-03-03,0.9999981578806597,1.6697884104106005e-06,1.723309732246125e-07
2006-03-06,0.9999817687587247,1.6362473682276885e-05,1.8687678058991746e-06
2006-03-07,0.9999802328500796,1.8288048447558104e-05,1.479101595659089e-06
2006-03-08,0.9999848671372068,1.3424859847927984e-05,1.7080029466619743e-06
2006-03-09,0.999974295320723,2.092430551021383e-05,4.780373913801796e-06
2006-03-10,0.9999340559764106,4.195135496821015e-05,2.3992668828808136e-05
2006-03-13,0.9997759795848625,0.00013990850259571337,8.411191241210858e-05
2006-03-14,0.9997927401881683,0.00018193625856701017,2.5323553098034974e-05
2006-03-15,0.9999475855232818,4.84135101055898e-05,4.000966570055865e-06
2006-03-16,0.9999819546751689,1.711139901401873e-05,9.339259170286051e-07
2006-03-17,0.9999906046059815,9.042169407238248e-06,3.532245582690228e-07
2006-03-20,0.9999938488511371,5.98935110183209e-06,1.6179794074650432e-07
2006-03-21,0.9999959574706592,3.92981127317017e-06,1.1271825574170123e-07
2006-03-22,0.9999957239715986,4.1228976760926565e-06,1.5313060017443934e-07
2006-03-23,0.9999945928244175,5.356217008847038e-06,5.095857847800104e-08
2006-03-24,0.9999986788233942,1.3167089950959167e-06,4.4675582298502505e-09
2006-03-27,0.999999592921623,4.062546313348765e-07,8.23825240203222e-10
2006-03-28,0.999999793683422,2.059335017294824e-07,3.831518789851687e-10
2006-03-29,0.9999998146195311,1.852196594703611e-07,1.607582509480791e-10
2006-03-30,0.9999999732758628,2.6704284299533244e-08,1.9739293208093507e-11
2006-03-31,0.9999999884926183,1.1499268166017273e-08,8.082408585989635e-12
2006-04-03,0.9999999924893928,7.505627565185657e-09,4.9766522796321814e-12
2006-04-04,0.9999999984015631,1.5973279169603194e-09,1.0139303456331761e-12
2006-04-05,0.9999999999995453,4.519849771704848e-13,2.5095580870981775e-16
2006-04-06,0.9999999999990905,8.188842940896464e-13,4.646184449035615e-16
2006-04-07,0.9999999999995453,6.657660004184995e-13,3.768981055612532e-16
2006-04-10,0.9999999999990905,7.323648494883847e-13,4.154439309430503e-16
2006-04-11,0.9999999999990905,8.044146208230896e-13,4.572236501432758e-16
2006-04-12,1.0,1.5124584326791084e-14,8.02934719513312e-18
2006-04-13,1.0,1.717332294841851e-14,9.141224403550824e-18
2006-04-14,1.0,1.9460247321239025e-14,1.0385591550192176e-17
2006-04-17,1.0,2.5146579045259018e-15,1.24189964129053e-18
2006-04-18,1.0,2.8894022682782775e-15,1.4317722566901533e-18
2006-04-19,1.0,3.3128082085703985e-15,1.6470060298783026e-18
2006-04-20,1.0,7.431767787565565e-14,4.1264821240267187e-17
2006-04-21,1.0,4.642424606157918e-16,2.2170802714871906e-19
2006-04-24,1.0,2.312775871579683e-17,1.0259446157776931e-20
2006-04-25,1.0,2.312799754977807e-17,1.0265855650696572e-20
2006-04-26,1.0,2.7475198184326473e-17,1.2248167695111875e-20
2006-04-27,1.0,9.447489764423022e-16,4.842591115762004e-19
2006-04-28,1.0,1.4757647489801153e-15,7.609061636973552e-19
2006-05-01,1.0,4.628876653399597e-17,2.081047175167401e-20
2006-05-02,1.0,3.804869538870447e-15,2.006272218965007e-18
2006-05-03,1.0,2.2876223730333574e-15,1.179930735652577e-18
2006-05-04,1.0,1.0739577202456465e-16,4.908426189150373e-20
2006-05-05,1.0,4.5018919319145825e-17,2.0237026551968007e-20
2006-05-08,1.0,2.6058055923818367e-17,1.1463575098155e-20
2006-05-09,1.0,1.1039265409535072e-16,5.0144632924190046e-20
2006-05-10,1.0,2.7516421310115786e-16,1.2746527759246796e-19
2006-05-11,1.0,1.2651860187959244e-15,6.1266065316648545e-19
2006-05-12,1.0,5.039306020054026e-15,2.521065168709151e-18
2006-05-15,0.9999999999995453,2.6685642215893024e-13,1.5208799375999799e-16
2006-05-16,0.9999999999995453,4.89549121737108e-13,2.823433153232747e-16
2006-05-17,0.9999999999995453,6.7380728548042e-13,3.911072521669889e-16
2006-05-18,0.9999999999990905,1.0519829794734419e-12,6.16592399854366e-16
2006-05-19,0.9999999999940883,5.74741470639393e-12,3.5001406991585225e-15
2006-05-22,0.999999998360181,1.6381523835037251e-09,1.519256705330702e-12
2006-05-23,0.9999999558799583,4.406143768587626e-08,5.870848546337084e-11
2006-05-24,0.9999998986718361,1.0120442597498656e-07,1.236412203021278e-10
2006-05-25,0.9999999194446932,8.044002168653668e-08,1.1529234918663e-10
2006-05-26,0.9999998853627469,1.1449385251904677e-07,1.436159212015853e-10
2006-05-29,0.999999915210541,8.465894376274999e-08,1.304821148472157e-10
2006-05-30,0.9999998663997847,1.3329417606661076e-07,3.0613367014893565e-10
2006-05-31,0.999999746059107,2.5298903856033336e-07,9.51933701378617e-10
2006-06-01,0.9999994846322315,4.834257431493065e-07,3.1942070924397745e-08
2006-06-02,0.9999788182691737,1.0863072689080487e-05,1.0318658241559299e-05
2006-06-05,0.9972459166552934,0.001252337675654099,0.0015017456691765266
2006-06-06,0.7666244534887562,0.11221022623311623,0.12116532027795478
2006-06-07,0.12071294849088016,0.40842343262517766,0.47086361888414574
2006-06-08,0.02595713796327228,0.5216638217517284,0.4523790402850466
2006-06-09,0.009767493416452954,0.4663099423888324,0.5239225641945571
2006-06-12,0.002940390531491554,0.5340294478288455,0.4630301616394463
2006-06-13,0.0004343010280005225,0.4709832603024445,0.5285824386694024
2006-06-14,3.22393087896532e-05,0.5356492663880628,0.46431849430302197
2006-06-15,9.799787275195048e-06,0.47109728095921294,0.5288929192537238
2006-06-16,7.98445628439526e-06,0.5357776157822172,0.4642143997616464
2006-06-19,2.060716312981221e-07,0.4709710361369531,0.5290287577912156
2006-06-20,2.5040732315481476e-07,0.5358146808733059,0.4641850687193369
2006-06-21,2.229583013411629e-07,0.47092734741370285,0.52907242962799
2006-06-22,2.1071932998316803e-07,0.5358802622909785,0.46411952698964515
2006-06-23,2.391306037440316e-07,0.4708448761524092,0.5291548847169893
2006-06-26,2.4029830423655236e-07,0.5359788821804581,0.46402087752118487
2006-06-27,2.0321698522724386e-07,0.470731860709826,0.5292679360734042
2006-06-28,1.6516190304537682e-07,0.5361134754174056,0.46388635942071954
2006-06-29,8.740688195640115e-08,0.47057894878808204,0.5294209638051491
2006-06-30,8.599869784408182e-08,0.5363045736643491,0.4636953403370938
2006-07-03,5.668212761556759e-07,0.4703735210708619,0.5296259121076962
2006-07-04,5.744921109469629e-07,0.5365337643464655,0.46346566116130894
2006-07-05,6.335756424761268e-07,0.4701269835041242,0.5298723829203962
2006-07-06,6.208163857481347e-07,0.5367995491098922,0.4631998300739171
2006-07-07,6.693705300757073e-07,0.46984329054243307,0.5301560400871228
2006-07-10,2.972387587603296e-06,0.5371019527924782,0.46289507481989434
2006-07-11,3.0753033343484897e-06,0.4695829709881446,0.5304139537087015
2006-07-12,2.3146234712262408e-06,0.5373843208505226,0.46261336452609375
2006-07-13,6.958297758201024e-07,0.46927022026472825,0.5307290839057113
2006-07-14,6.19379311104009e-07,0.5376658115145123,0.46233356910606715
2006-07-17,1.475587836909783e-07,0.4689726624739986,0.531027189967117
2006-07-18,4.329925212416688e-07,0.5379574660037176,0.4620421010037546
2006-07-19,4.4122728786159344e-07,0.46867349845742695,0.5313260603152928
2006-07-20,3.579606171047369e-07,0.5382745234051224,0.46172511863406884
2006-07-21,4.811115758817508e-07,0.46833471123613435,0.5316648076522056
2006-07-24,3.4137018584435164e-07,0.5386346687780484,0.46136498985196456
2006-07-25,2.9035693668196673e-07,0.4679349814164351,0.5320647282264457
2006-07-26,2.60389178034329e-07,0.5390482799275361,0.4609514596830951
2006-07-27,2.0775811056468876e-07,0.4675286958422308,0.5324710963997648
2006-07-28,2.2019911317736122e-07,0.5394632095826668,0.46053657021803696
2006-07-31,1.799571661031944e-07,0.4671049000888061,0.5328949199539151
2006-08-01,5.257812362113265e-07,0.5399285229708818,0.4600709512480924
2006-08-02,5.454129884474204e-07,0.4666822969888966,0.5333171575981652
2006-08-03,5.237477269018356e-07,0.5403696882032275,0.45962978804905563
2006-08-04,5.250256464403195e-07,0.4662194063879535,0.5337800685864048
2006-08-07,2.8293433196552676e-07,0.5408500209127848,0.4591496961527983
2006-08-08,2.3528521625334186e-07,0.46566867921262245,0.534331085502299
2006-08-09,3.0488572926870134e-07,0.5414044297863656,0.45859526532796974
2006-08-10,3.245350633798831e-07,0.46511233011026765,0.5348873453546062
2006-08-11,3.241429208334252e-07,0.5419825197802621,0.45801715607692167
2006-08-14,2.548009345351742e-07,0.46451390598762665,0.5354858392115468
2006-08-15,3.0230383502477766e-07,0.5425811012105447,0.4574185964856096
2006-08-16,3.642586787499914e-07,0.46390184123190276,0.5360977945095082
2006-08-17,1.4937345919152375e-07,0.543201702684448,0.45679814794193435
2006-08-18,8.401461067695349e-08,0.4632381547721183,0.5367617612132553
2006-08-21,6.505726582534327e-08,0.5438731521673017,0.45612678277524915
2006-08-22,6.943286915993075e-08,0.46254083024409237,0.5374591003232297
2006-08-23,4.8680639103271843e-08,0.5445856257095862,0.4554143256096141
2006-08-24,4.9499102846313755e-08,0.46180375663581147,0.5381961938652863
2006-08-25,5.211810932059605e-08,0.5453455694051307,0.45465437847687845
2006-08-28,5.28301488004701e-08,0.4610213749990572,0.5389785721708604
2006-08-29,5.655141810318208e-08,0.5461510805422632,0.4538488629064698
2006-08-30,1.1183192639753897e-07,0.46019321847160555,0.5398066696965811
2006-08-31,1.6912519759632483e-07,0.5470109092402538,0.4529889216346239
2006-09-01,1.8740320129688882e-07,0.45931311800993835,0.5406866945869117
2006-09-04,3.430105131606807e-07,0.5479142032562976,0.4520854537332986
2006-09-05,5.249315771526863e-06,0.45840363501636033,0.5415911156680474
2006-09-06,5.5397654582585125e-06,0.5490191445714843,0.4509753156632369
2006-09-07,3.914602494064496e-06,0.4572723904953337,0.5427236949023275
2006-09-08,2.9711845864415797e-06,0.5501470353560222,0.449849993459364
2006-09-11,3.1240975551638234e-06,0.4560968955694899,0.5438999803330375
2006-09-12,3.227706985623716e-06,0.551351142553085,0.44864562973995986
2006-09-13,1.483231640175991e-06,0.4548682143582546,0.5451303024099109
2006-09-14,1.7099042577031322e-06,0.5524993391630725,0.44749895093284653
2006-09-15,4.613792866996133e-06,0.4536852103057206,0.5463101759015921
2006-09-18,1.1329841559196459e-05,0.5538158607104663,0.44617280944792026
2006-09-19,9.478312149154076e-06,0.45239228875738374,0.5475982329302772
2006-09-20,1.0331281520577784e-05,0.5551669553882871,0.4448227133300766
2006-09-21,1.089628895084192e-05,0.45101050758379785,0.5489785961272582
2006-09-22,9.750338105876085e-06,0.5565783659921881,0.44341188366990586
2006-09-25,6.579829993150169e-06,0.44954742165052475,0.5504459985194343
2006-09-26,1.0355301933610152e-05,0.5579974065150732,0.4419922381830611
2006-09-27,1.0500751747954831e-05,0.44816807990984836,0.5518214193385641
2006-09-28,4.995628937524608e-06,0.5594060853296223,0.440588919041577
2006-09-29,2.9289290937292848e-06,0.44667883711974476,0.5533182339512902
2006-10-02,3.271128146860389e-06,0.5608961332522098,0.43910059561962056
2006-10-03,2.846278555109671e-06,0.44518173993767596,0.5548154137837721
2006-10-04,2.3818822999343335e-06,0.5623917759850755,0.4376058421326969
2006-10-05,4.2274853777344584e-06,0.4435645060587619,0.5564312664557525
2006-10-06,5.022385596652098e-06,0.5641152117654289,0.43587976584877003
2006-10-09,5.491634443917019e-06,0.44174000626602455,0.5582545020994991
2006-10-10,5.972682248964064e-06,0.5659687709794154,0.4340252563381325
2006-10-11,9.628484821071688e-06,0.439852694075534,0.5601376774396953
2006-10-12,1.0443601567368739e-05,0.5679210733203113,0.4320684830781405
2006-10-13,1.0343114720252579e-05,0.43786330170108256,0.562126355184161
2006-10-16,8.003326128994722e-06,0.5699476460878002,0.4300443505861546
2006-10-17,7.92663284707133e-06,0.4357578591710195,0.5642342141959319
2006-10-18,9.773832070715747e-06,0.5720929202851659,0.4278973058829844
2006-10-19,2.577331370596557e-05,0.4335761499397541,0.5663980767465601
2006-10-20,3.798930193464852e-05,0.574407597095347,0.42555441360294044
2006-10-23,4.190340581556546e-05,0.43124611804906104,0.5687119785452253
2006-10-24,4.6581632029545555e-05,0.576773889012598,0.42317952935523884
2006-10-25,4.259188802165372e-05,0.4288354738099737,0.5711219343021373
2006-10-26,3.017518476957582e-05,0.5792278372600176,0.42074198755523173
2006-10-27,2.819202845785718e-05,0.42625972114710065,0.5737120868242187
2006-10-30,2.7794722178374297e-05,0.5818539961980419,0.41811820907981295
2006-10-31,3.3778102153768e-05,0.42358187800740277,0.5763843438904833
2006-11-01,3.6609744243888477e-05,0.5845768509434747,0.4153865393121245
2006-11-02,4.0798740761934605e-05,0.42080995179156283,0.5791492494677595
2006-11-03,3.8792532621743047e-05,0.5873939882991631,0.412567219168255
2006-11-06,1.3000665881394738e-05,0.4179428299445464,0.582044169389451
2006-11-07,7.266351212120544e-06,0.5901279260142611,0.40986480763466987
2006-11-08,6.4181668089242626e-06,0.41516372420048536,0.5848298576325786
2006-11-09,5.291366534438665e-06,0.5929483390938673,0.407046369539649
2006-11-10,5.379726321756058e-06,0.4122715869784196,0.5877230332952497
2006-11-13,9.876181590889274e-07,0.5959168711696219,0.404082141212329
2006-11-14,5.885162732496917e-07,0.40927002372286164,0.5907293877607258
2006-11-15,3.3269622163129954e-07,0.5990202389046021,0.4009794283990755
2006-11-16,3.015596346870603e-07,0.40610144314390345,0.5938982552965201
2006-11-17,2.8536533218887885e-07,0.6022521350242538,0.39774757961045787
2006-11-20,1.7108437321419158e-07,0.4028278023139573,0.5971720266017516
2006-11-21,3.9569412925901595e-08,0.6056309725816459,0.39436898784893154
2006-11-22,3.770293578717823e-08,0.39940493750807765,0.6005950247890989
2006-11-23,4.1118519540427867e-08,0.6091141578758886,0.3908858010056283
2006-11-24,6.876842159383454e-08,0.39586511904181376,0.604134812189925
2006-11-27,6.937349952032561e-08,0.6127257496960484,0.38727418093043836
2006-11-28,5.066245232588634e-08,0.3921999678007685,0.6077999815368363
2006-11-29,5.387769017769305e-08,0.6164535680513199,0.38354637807080283
2006-11-30,1.1853715805674344e-07,0.3884120181219265,0.6115878633408887
2006-12-01,1.296972671610628e-07,0.6203224374367571,0.3796774328659422
2006-12-04,1.3572343156412302e-07,0.3844808484166275,0.6155190158600884
2006-12-05,1.7645145859873927e-06,0.6243230255371931,0.3756752099484033
2006-12-06,1.947662683216776e-06,0.38055951102127816,0.6194385413159728
2006-12-07,3.8001865818962057e-06,0.6283204199739033,0.3716757798397411
2006-12-08,4.561102882024149e-06,0.3765494159597588,0.6234460229375419
2006-12-11,4.368013927295958e-06,0.6324285975888443,0.36756703439727495
2006-12-12,2.6995741032066457e-06,0.37235868084006063,0.6276386195856632
2006-12-13,3.024272798801054e-06,0.6366292354570063,0.3633677402699684
2006-12-14,3.100350259195068e-06,0.3680892054380727,0.6319076942118318
2006-12-15,3.41281087295488e-06,0.64097754740858,0.3590190397805872
2006-12-18,3.026286205658055e-06,0.3636671419052711,0.6363298318083822
2006-12-19,3.1987160242767334e-06,0.6454888878331061,0.35450791345070815
2006-12-20,3.384654936745973e-06,0.3590816058303455,0.6409150095148565
2006-12-21,1.1997156474671383e-06,0.6501627438586524,0.34983605642549326
2006-12-22,4.109908164773314e-06,0.35424225816441174,0.6457536319273189
2006-12-25,7.546470902878055e-06,0.6552386999884613,0.3447537535404891
2006-12-26,0.00016936344540005685,0.34904129215910107,0.6507893443952899
2006-12-27,0.005639058335638297,0.660391887085484,0.33396905457893594
2006-12-28,0.017790294044361894,0.33832478782055403,0.6438849181351336
2006-12-29,0.11518765778224126,0.6532711752961391,0.23154116692162802
2007-01-01,0.7544662966120886,0.2347687192020314,0.010764984185735191
2007-01-02,0.9891490076208378,0.010791829204801994,5.916317419621257e-05
2007-01-03,0.9999456523504291,5.409728468624392e-05,2.5036488338263507e-07
2007-01-04,0.9999990295605291,9.647064195400629e-07,5.733125295102787e-09
2007-01-05,0.9999991046528891,8.914696935500706e-07,3.877316321530365e-09
2007-01-08,0.9999993969815477,6.009942729528606e-07,2.0241995363938272e-09
2007-01-09,0.9999995566723628,4.4188716681000314e-07,1.4406696511488865e-09
2007-01-10,0.9999995709209554,4.276835898904979e-07,1.3952554272925189e-09
2007-01-11,0.9999995706049061,4.2818989553584915e-07,1.2053741197407878e-09
2007-01-12,0.999999645299403,3.5367979753226765e-07,1.0210149790237273e-09
2007-01-15,0.9999996321076419,3.668273236046432e-07,1.0651748493782944e-09
2007-01-16,0.9999996299744228,3.689292714070226e-07,1.0961719911044498e-09
2007-01-17,0.9999996187953728,3.801966099871991e-07,1.0081656408097784e-09
2007-01-18,0.9999996724750954,3.2667968409617903e-07,8.451203621304986e-10
2007-01-19,0.9999996824381518,3.167083268725081e-07,8.534000716957465e-10
2007-01-22,0.9999996646798188,3.3447474396385637e-07,8.454731058922234e-10
2007-01-23,0.9999996934189327,3.05757801139065e-07,8.234650548937857e-10
2007-01-24,0.9999996649303846,3.3423472858593366e-07,8.346990192960963e-10
2007-01-25,0.9999996989400186,3.0046893761223044e-07,5.910210892418959e-10
2007-01-26,0.9999997882219074,2.1139962267298078e-07,3.785154783562321e-10
2007-01-29,0.9999998149092051,1.846850111085086e-07,4.0580100730031573e-10
2007-01-30,0.9999997472055249,2.5229250195429915e-07,5.01967221628103e-10
2007-01-31,0.9999997848772413,2.1458466380561e-07,5.381458985297124e-10
2007-02-01,0.9999996960396409,3.009688806986982e-07,2.9915606688095653e-09
2007-02-02,0.9999984798889913,1.5171416774950109e-06,2.969133249995808e-09
2007-02-05,0.9999998054118086,1.9427408938207005e-07,3.143129918660703e-10
2007-02-06,0.9999998468856692,1.528804208282633e-07,2.340701625869953e-10
2007-02-07,0.9999998609819255,1.3883311929737693e-07,1.8495254349168023e-10
2007-02-08,0.9999998934022244,1.0612670011362835e-07,4.71093238770142e-10
2007-02-09,0.9999993748121732,6.242538251365311e-07,9.3392436941626e-10
2007-02-12,0.9999998768803455,1.2302268240829226e-07,9.707849162258693e-11
2007-02-13,0.9999999865958671,1.3390758618283815e-08,1.3372260819619318e-11
2007-02-14,0.9999999427209348,5.72282111427466e-08,5.0965561154964755e-11
2007-02-15,0.9999999683354878,3.163759118962649e-08,2.7027255270668426e-11
2007-02-16,0.9999999730903258,2.689107472188194e-08,1.867229387850654e-11
2007-02-19,0.999999999362899,6.368389625627453e-10,4.026906337251244e-13
2007-02-20,0.9999999998594831,1.4060048564876592e-10,8.502581324292739e-14
2007-02-21,0.9999999999463398,5.3527650160367265e-11,3.1788009005491717e-14
2007-02-22,0.999999999994543,5.349135769769673e-12,3.0397027402965186e-15
2007-02-23,0.9999999999990905,1.0881476251017022e-12,5.983619727351959e-16
2007-02-26,0.9999999999986358,1.2082697959169664e-12,6.671864088552626e-16
2007-02-27,1.0,1.6624712705520571e-13,8.822918134072637e-17
2007-02-28,1.0,1.728611117668093e-13,9.183125473036125e-17
2007-03-01,1.0,1.7928925831453816e-13,9.535030751144461e-17
2007-03-02,1.0,1.533790906253403e-13,8.107183031512557e-17
2007-03-05,1.0,1.5638652139316488e-13,8.272973890871711e-17
2007-03-06,1.0,1.659975574016772e-13,8.800314188214539e-17
2007-03-07,1.0,1.6598173250368045e-13,8.795895227112555e-17
2007-03-08,0.999999999998181,1.835398871302434e-12,1.020350603443702e-15
2007-03-09,0.999999999998181,1.877009015267565e-12,1.0446712292055337e-15
2007-03-12,0.9999999999890861,1.0965257966766523e-11,6.323147864039363e-15
2007-03-13,0.9999999998917701,1.0835649622651031e-10,6.5243955372569e-14
2007-03-14,0.9999999998713065,1.287961495166948e-10,7.788667231655143e-14
2007-03-15,0.9999999998590283,1.4071816787484637e-10,8.55526639071998e-14
2007-03-16,0.9999999993833626,6.163096011756994e-10,3.889102838303508e-13
2007-03-19,0.9999999982255758,1.7734105947884182e-09,1.1501712313034293e-12
2007-03-20,0.9999999972451405,2.753108787106038e-09,1.8020315954785864e-12
2007-03-21,0.9999999971173565,2.8806272200533356e-09,1.8955492393798337e-12
2007-03-22,0.9999999965975803,3.4000672736470235e-09,2.2533278034089074e-12
2007-03-23,0.9999999963242772,3.6731549803607712e-09,2.4776201675406187e-12
2007-03-26,0.9999999944493538,5.54695901552431e-09,3.75687691372864e-12
2007-03-27,0.9999999954211489,4.574865320898259e-09,4.1548171566310056e-12
2007-03-28,0.9999999555302576,4.443689289852006e-08,3.2630870874093534e-11
2007-03-29,0.9999999947517608,5.2448358602870255e-09,3.5601079059317605e-12
2007-03-30,0.9999999960487003,3.948544915666801e-09,2.6548285295418345e-12
2007-04-02,0.9999999959654815,4.031627316199088e-09,2.731936899226792e-12
2007-04-03,0.9999999941674105,5.8285672743956985e-09,3.9078820337522806e-12
2007-04-04,0.9999999968422344,3.1555849617782792e-09,2.0990046421046395e-12
2007-04-05,0.9999999968899829,3.108015795983318e-09,2.0685723211593516e-12
2007-04-06,0.9999999969008968,3.097032568147421e-09,2.085681331685763e-12
2007-04-09,0.9999999955603016,4.4368462833985985e-09,3.0636011835493376e-12
2007-04-10,0.9999999942028808,5.792085263427485e-09,5.157636155120712e-12
2007-04-11,0.9999999604156081,3.9547124040989555e-08,3.7204728487352445e-11
2007-04-12,0.9999999630490499,3.691639031643825e-08,3.462031230485894e-11
2007-04-13,0.9999999637075241,3.6265823548409055e-08,2.6643280166662978e-11
2007-04-16,0.9999999964834387,3.5142724347165305e-09,2.3709987154521975e-12
2007-04-17,0.999999997204668,2.793288705749406e-09,1.847284724600379e-12
2007-04-18,0.9999999985802788,1.4188286206312513e-09,1.048563284490178e-12
2007-04-19,0.999999984004262,1.5982710348842054e-08,1.291071292891057e-11
2007-04-20,0.9999999833603398,1.6627899919448897e-08,1.1875151661889235e-11
2007-04-23,0.9999999986453076,1.353647286734339e-09,8.849131426880273e-13
2007-04-24,0.9999999991050572,8.943467740660257e-10,5.749033039335431e-13
2007-04-25,0.9999999996293809,3.704510967167693e-10,2.3261123977414817e-13
2007-04-26,0.999999999996362,3.614960499365455e-12,2.080455164528832e-15
2007-04-27,0.9999999999972715,2.9046823485109196e-12,1.6885920029342158e-15
2007-04-30,0.999999999996362,3.820586880885386e-12,2.245451028022413e-15
2007-05-01,0.999999999994543,5.345532349322317e-12,3.184604811487211e-15
2007-05-02,0.9999999999959073,4.2179953099092284e-12,2.5066669618988824e-15
2007-05-03,0.9999999999954525,4.503929185461092e-12,2.683699037497594e-15
2007-05-04,0.9999999999954525,4.597633951386777e-12,2.7417610375234883e-15
