label,ann_return_%,ann_vol_%,sharpe,max_drawdown_%,win_rate_%,n_days
Overall,-0.12,0.59,-0.199,-5.08,35.1,5329
GOOD,-0.11,0.68,-0.162,-3.69,48.7,2370
NEUTRAL,0.03,0.04,0.631,-0.02,0.3,1482
BAD,-0.28,0.72,-0.381,-2.12,48.3,1477
