date,PC1,PC2,PC3
2005-08-25,11.206717265267443,4.927426514175482,3.924692509847554
2005-08-26,11.217703036541957,4.898396812232903,3.945385725202731
2005-08-29,11.240894390290597,4.906035564572984,3.8860853175690457
2005-08-30,11.194904722979736,4.8455108029459595,3.948604223907269
2005-08-31,11.133769409929936,4.876187618346297,3.9575265169114
2005-09-01,11.265923010650704,4.755522731639434,3.9838904415810172
2005-09-02,11.287122399764387,4.727302270001699,3.948421039938765
2005-09-05,11.27563393046824,4.728663129301843,3.950515640641097
2005-09-06,11.33042715963671,4.674352429338513,3.9088668783622134
2005-09-07,11.395533261927978,4.673402297360928,3.8465627180814397
2005-09-08,11.41637226518847,4.661874302153157,3.84146711646432
2005-09-09,11.426133895698232,4.66603938996887,3.8471804478437464
2005-09-12,11.402140517601667,4.677273925194968,3.857303258112196
2005-09-13,11.610090719976089,4.637244288437149,3.775816525781224
2005-09-14,11.628520448931033,4.620068371106437,3.7701612042945114
2005-09-15,11.600150028312935,4.610897623199855,3.7869039466590664
2005-09-16,11.597193553211572,4.624723709288983,3.778346806766499
2005-09-19,11.618222381150286,4.640214892253206,3.7722735873079336
2005-09-20,11.628687166455533,4.648314912210036,3.7696441295553136
2005-09-21,11.597512902035922,4.655340014281913,3.7897579749873596
2005-09-22,11.580917308952277,4.686807562209921,3.7820405459110855
2005-09-23,11.60500395394726,4.667365806173923,3.765876951195815
2005-09-26,11.651277541004498,4.655967905216014,3.74330451436276
2005-09-27,11.795864639458356,4.611025605262847,3.7096778985987684
2005-09-28,11.66114623170541,4.6171034549710726,3.7703512957032594
2005-09-29,11.600359595208309,4.681791398880209,3.741924969419363
2005-09-30,11.467630406049024,4.709182757421352,3.7693696145860067
2005-10-03,11.470019602565815,4.71040233577048,3.762012772842418
2005-10-04,11.490855912961806,4.71064904234196,3.738096638461179
2005-10-05,11.478255225273076,4.722257311813807,3.7509745684254163
2005-10-06,11.493214239923114,4.708418203790776,3.7667472924601344
2005-10-07,11.470857581958452,4.713141475480989,3.7669445522295284
2005-10-10,11.356852770914502,4.751640337856886,3.7920536546446026
2005-10-11,11.372833766988608,4.737611607313989,3.797690248003648
2005-10-12,11.423480214892658,4.702325313683217,3.7962720412603477
2005-10-13,11.4116440813826,4.670498171060847,3.791859341999633
2005-10-14,11.456916705755141,4.654605906648581,3.7832486571813213
2005-10-17,11.435221164208526,4.638049501734093,3.7720490638924042
2005-10-18,11.458545634224121,4.594464641451218,3.7109585419543234
2005-10-19,11.459839166234264,4.585202418918787,3.720313622085587
2005-10-20,11.505589203709384,4.624710642900448,3.701720278813994
2005-10-21,11.524945180106329,4.615389281365338,3.7047597469145597
2005-10-24,11.587992252434324,4.598771016823788,3.67667227440121
2005-10-25,11.586581972585208,4.60828827781964,3.686229657501182
2005-10-26,11.676633529171644,4.578665597759893,3.6389452635150743
2005-10-27,11.77120076202293,4.5525384641981335,3.6031515781407184
2005-10-28,11.834977033720897,4.5430630892943995,3.619681225876811
2005-10-31,11.823606393619468,4.54137024046525,3.606390888561139
2005-11-01,11.790627256195968,4.56574337904968,3.5991726814634863
2005-11-02,11.805533692333222,4.541616040689131,3.6063185265076183
2005-11-03,11.823047987015554,4.546034407808394,3.61070091781476
2005-11-04,11.831873406308828,4.547729228817999,3.6117808448310673
2005-11-07,11.85238679053895,4.551090217712144,3.5438865260495027
2005-11-08,11.850082986101029,4.522684067456868,3.50834088335451
2005-11-09,11.913683366096485,4.500303155357946,3.453567371633446
2005-11-10,11.866991385202924,4.594676650244646,3.4363979169928824
2005-11-11,11.847725176906676,4.595720136133822,3.4598232170732883
2005-11-14,11.849099262935356,4.579462746349633,3.452689454016525
2005-11-15,11.821939567654463,4.607158421584812,3.4451499224561397
2005-11-16,11.796786192559807,4.590974950312182,3.433514893030161
2005-11-17,11.81742253775386,4.715312408601094,3.425217809432048
2005-11-18,11.79907656643039,4.725975584783276,3.4737139328425526
2005-11-21,11.80640682819075,4.7203766138257715,3.4668099718715
2005-11-22,11.793673824330472,4.718806726756846,3.4624881136942878
2005-11-23,11.751020499685582,4.710615473803937,3.4493699816962318
2005-11-24,11.702031112333739,4.708317046969866,3.47079350866532
2005-11-25,11.740672840112651,4.713273224454394,3.477754610083247
2005-11-28,11.757159233759328,4.714049378082593,3.4630681401731085
2005-11-29,11.76173704806602,4.72491414626413,3.4341742831493387
2005-11-30,11.771920566843253,4.722034659227893,3.4429992812728782
2005-12-01,11.760342554084506,4.736718081936675,3.446265333338035
2005-12-02,11.712648099585756,4.744569002878592,3.523133251985935
2005-12-05,11.685836080532896,4.730568533608573,3.546048312424062
2005-12-06,11.689806579756896,4.694561859619722,3.576018790626736
2005-12-07,11.685578081843024,4.701300781706216,3.569804690111945
2005-12-08,11.667599470425214,4.714017108412513,3.561028568890062
2005-12-09,11.694891708941011,4.701883687707408,3.5462452660819226
2005-12-12,11.837366054509133,4.677161935272712,3.5147965991967345
2005-12-13,11.826275950093216,4.7098854444329055,3.515146622129992
2005-12-14,11.841685888548392,4.701695167988632,3.515387746790395
2005-12-15,11.861107675902172,4.706035831959106,3.533691343804674
2005-12-16,11.86152935831648,4.719231540146053,3.534482543916091
2005-12-19,11.816343832692542,4.717978476104814,3.507639099271029
2005-12-20,11.769669801209135,4.707565160929094,3.504739782432324
2005-12-21,11.759802166524624,4.694200897432311,3.5064272195265924
2005-12-22,11.791884477456188,4.686422072344578,3.4967119146312196
2005-12-23,11.834333779196733,4.678855122901143,3.490849594342126
2005-12-26,11.836566185718578,4.679669140232752,3.490579078038503
2005-12-27,11.826274294799628,4.669818289358994,3.4882175727123115
2005-12-28,11.838128894122042,4.670050122947637,3.475980424164145
2005-12-29,11.804433106791446,4.68795537379164,3.509659440863082
2005-12-30,11.810177973054904,4.690155680997384,3.509588218595281
2006-01-02,11.765558551908223,4.68943004281608,3.515290928608861
2006-01-03,11.655475730852087,4.68197946065953,3.571084533558528
2006-01-04,11.649400807512686,4.684368240827106,3.5664210554647697
2006-01-05,11.688037666480657,4.664764541278832,3.5734432719663918
2006-01-06,11.757166148876177,4.640165032964008,3.5632685735705842
2006-01-09,11.779888471762323,4.636512077712977,3.5717705426353192
2006-01-10,11.793136862316333,4.6373274135075855,3.5170466506983153
2006-01-11,11.804587504972693,4.6659459447067135,3.50207363638251
2006-01-12,11.801164059991278,4.670026898818006,3.497895904663556
2006-01-13,11.874992934930436,4.655798127222341,3.45600988080516
2006-01-16,11.866778775879077,4.661375399135331,3.4644935044858056
2006-01-17,11.859834714283476,4.656885475283636,3.461462000895132
2006-01-18,11.817750386974707,4.657044866965184,3.4775815156130543
2006-01-19,11.811895244135876,4.6524847890221395,3.4827922372705173
2006-01-20,11.868160128663144,4.619339129862967,3.4821449766863695
2006-01-23,11.879462684061053,4.617668328630947,3.4851179508266488
2006-01-24,11.856430603111745,4.630698346082971,3.500781450416631
2006-01-25,11.787002760694952,4.638055433690244,3.532704603178174
2006-01-26,11.872234824792441,4.636023472469262,3.5224263522335053
2006-01-27,11.918003831362517,4.614861564266989,3.508202509427451
2006-01-30,11.983343810840553,4.570398684291557,3.5363177784030007
2006-01-31,11.993886701997365,4.599553384230852,3.4879198944608523
2006-02-01,11.982983868096362,4.591293959058921,3.498058821511106
2006-02-02,11.960125788126232,4.640757946337911,3.4923888432378734
2006-02-03,11.97004293010157,4.6558528446079395,3.4992175263803396
2006-02-06,11.985328173866153,4.658410546298693,3.4900456445586965
2006-02-07,12.006166794574055,4.669020163839449,3.4636771089826457
2006-02-08,11.936788474359643,4.666711868822202,3.499887853266739
2006-02-09,11.927273556222811,4.676255901177418,3.493477604267256
2006-02-10,11.923208941263708,4.661631940655173,3.4886126364517045
2006-02-13,11.871801376673899,4.64711969970241,3.5919005552581735
2006-02-14,11.837164212908784,4.584781248201946,3.60993285075164
2006-02-15,11.810479984897393,4.5933095466650435,3.6078579766725696
2006-02-16,11.818524608551318,4.574127745913352,3.53824198758878
2006-02-17,11.795772456616508,4.581062644055076,3.548630506183693
2006-02-20,11.819893468652594,4.535158630730732,3.517633611561474
2006-02-21,11.824937565026467,4.528939137297042,3.5148103498354737
2006-02-22,11.796885584867473,4.51972034566286,3.5274457543905897
2006-02-23,11.788358423464647,4.5095504985178705,3.515824122434224
2006-02-24,11.824225074576358,4.48465944998072,3.5143247961165374
2006-02-27,11.829629644434819,4.394689426341012,3.562784531715152
2006-02-28,11.85374944765283,4.39737946659217,3.561622079758357
2006-03-01,11.886813196338808,4.395839565318698,3.5582550056810405
2006-03-02,11.895938710549755,4.390752073140896,3.5598034709280366
2006-03-03,11.934554817326278,4.377258042309064,3.524701891548238
2006-03-06,11.963806801459018,4.382825907846435,3.5085580798945095
2006-03-07,11.965744451415839,4.353002103474516,3.5261741710774435
2006-03-08,11.949119667094372,4.349842675798117,3.537606252380741
2006-03-09,11.903258313755826,4.394964703236492,3.564786486106764
2006-03-10,12.02270886143192,4.401811439363878,3.47284919162958
2006-03-13,12.086180345879285,4.37148643662944,3.444463353059991
2006-03-14,12.09414936660901,4.401587111946338,3.443303644872734
2006-03-15,12.129176433755108,4.405598120174649,3.4174259799036193
2006-03-16,12.144758112427404,4.415720413209741,3.408921523768391
2006-03-17,12.118771449417507,4.406942231123858,3.446894814045059
2006-03-20,12.110031942286707,4.41360718572468,3.4448062747953085
2006-03-21,12.020418722883544,4.429904689672713,3.477907040785495
2006-03-22,12.089577975156836,4.438701108288513,3.4989782972941295
2006-03-23,12.090319609153292,4.433933124797795,3.51402426170395
2006-03-24,12.087632487417338,4.445581049160242,3.513518110677808
2006-03-27,12.081098839716796,4.442375301371387,3.5308106500332053
2006-03-28,12.095115451168965,4.471454719853887,3.522883263241338
2006-03-29,12.213955265448321,4.466402812528548,3.459322526799513
2006-03-30,12.239691048024675,4.516573939451778,3.454731741611384
2006-03-31,12.255630385240316,4.49385921379534,3.438860799104554
2006-04-03,12.248866066299748,4.493548810820844,3.444472619446251
2006-04-04,12.305170923013364,4.525467440585318,3.4286778180854096
2006-04-05,12.199557975248453,4.506146451015936,3.4582390153103586
2006-04-06,12.179785315261277,4.47465972815883,3.470521005415897
2006-04-07,12.15291224575011,4.458399203560321,3.4958662136167953
2006-04-10,12.154156078988104,4.430792383842035,3.47488816372741
2006-04-11,12.188703614295589,4.432481085572631,3.4729765213036368
2006-04-12,12.192168531278256,4.42069958939196,3.4748455014888195
2006-04-13,12.184293523465696,4.420903596297388,3.49036318164827
2006-04-14,12.315256884449385,4.388884219595453,3.448626569452702
2006-04-17,12.297508840363928,4.390128944331688,3.4567742105902535
2006-04-18,12.278536463877888,4.380459691673742,3.465866980671426
2006-04-19,12.28875670970336,4.370724987071628,3.473758166118201
2006-04-20,12.253437106063888,4.435080014720214,3.4768055914693177
2006-04-21,12.251883784148095,4.434758389285567,3.4771164367891547
2006-04-24,12.264219033770313,4.430206773491857,3.472809961408954
2006-04-25,12.241208565519756,4.430429652648387,3.48243796567276
2006-04-26,12.299152340858459,4.422747772360077,3.4588599980199084
2006-04-27,12.360262969438994,4.385670756727372,3.443697421282632
2006-04-28,12.285916962858314,4.399670785363305,3.4660797996805597
2006-05-01,12.316472851984017,4.403895424398686,3.457922250607266
2006-05-02,12.273975375408826,4.4709203599968,3.449191125964793
2006-05-03,12.229215071059498,4.473733109433125,3.4592703219253274
2006-05-04,12.22007553898928,4.477784030144108,3.4608441873950473
2006-05-05,12.222899928810655,4.481938654904241,3.46021707934114
2006-05-08,12.206137480423829,4.491657559828657,3.4656498130987683
2006-05-09,12.220156492466737,4.4849006122338055,3.468737832825323
2006-05-10,12.210628970696613,4.453032780610938,3.4638410681166842
2006-05-11,12.122345861547947,4.459210366718441,3.521978746030543
2006-05-12,12.045336130930504,4.476555788041697,3.5556853485243245
2006-05-15,12.034907653005822,4.457786055363611,3.5706686788907596
2006-05-16,12.021102118715534,4.464807058747355,3.5563096062524946
2006-05-17,12.104008949560901,4.443264693141604,3.539709838615791
2006-05-18,12.078337445889458,4.5117392647970815,3.5280869874768026
2006-05-19,12.052592611623476,4.551535089182711,3.5326386592184713
2006-05-22,11.934355526865174,4.578078659921678,3.568208682837247
2006-05-23,12.005835487931853,4.562901610467433,3.5722596798297297
2006-05-24,12.05884937802505,4.6130367058368575,3.481439821118325
2006-05-25,12.067494424772839,4.655214036215742,3.4644058491756407
2006-05-26,11.984378843801457,4.666533259124198,3.5169540806536896
2006-05-29,12.000069789184375,4.635705986511866,3.4750060620648964
2006-05-30,11.996568754998048,4.630056742629841,3.483604573358804
2006-05-31,11.996678129543133,4.648983083954055,3.4746912584116374
2006-06-01,12.000526243953507,4.648525429778901,3.4700873238376726
