date,US_1Y,US_2Y,US_3Y,US_5Y,US_10Y,US_20Y,US_30Y,DE_1Y,DE_2Y,DE_3Y,DE_5Y,DE_10Y,DE_20Y,DE_30Y,UK_1Y,UK_2Y,UK_3Y,UK_5Y,UK_10Y,UK_20Y,JP_1Y,JP_2Y,JP_3Y,JP_5Y,JP_10Y,JP_20Y,JP_30Y
2024-03-27,0.15220450722098583,0.17843593234027846,0.18769756541551405,0.1899754021632779,0.14791349701291773,0.10659821997197855,0.18052021291358467,0.10257770038528341,0.18707469757843312,0.19625899379482387,0.1345347108523093,-0.0015533764041126222,-0.034008857725352865,-0.03377222036202231,0.06515603837958733,0.19383153272912,0.21206228106150032,0.1672844159160542,0.052747866096638486,-0.002978577520422493,0.06278350219641009,0.11796082391525546,0.11174370357789219,0.062390727367017784,-0.019460456025854687,-0.026245797614857336,0.03646196499873264
2024-03-28,0.13941250975710429,0.16086160763911705,0.2019863904459698,0.1888475016786214,0.16582798256797,0.12239411740304135,0.1902877485021897,0.08912376648277351,0.18010452402071092,0.1935754684323964,0.13895819618770802,0.011404854623451033,-0.036117948652054296,-0.05140634178886,0.022878136229215872,0.1531251500472563,0.17382198533587523,0.13888574219957195,0.04730483865914733,-0.02485483989307679,0.055165841044125134,0.11941315318965605,0.10706802321612882,0.06432694732290768,-0.020042977403942917,-0.037935442334658225,0.015726953649047744
2024-03-29,0.17034325697144326,0.20384324824779398,0.22207489484703705,0.1959820396396441,0.12985826135140374,0.07292518453937327,0.12593158009576932,0.0892568469023666,0.16121441379611304,0.16334590996350687,0.0994523955731868,-0.03247187380849163,-0.09430524117140422,-0.11527237084786483,0.008307708943974083,0.14669847797731006,0.16210769396124217,0.11945345932664442,0.03003557058874894,-0.0312256363266708,0.05966591765638757,0.11584912802369285,0.10759753144051727,0.06215891334803874,-0.015401130906336283,-0.035628009371190754,0.01032436198336409
2024-04-01,0.2062725282359295,0.21899755211520622,0.2329155641076287,0.18717764650324448,0.09644036704444862,0.021865392712565438,0.06772647297585342,0.04996142394439403,0.1165194205006796,0.1218240006232772,0.0714100650363866,-0.03663164825820501,-0.08866562673855669,-0.11102519115921954,0.06254418854718624,0.17469428503191656,0.17505949490613618,0.12552818521013148,0.04769088842684616,0.002345095686488458,0.07002054336013205,0.10925165454871201,0.10033831948738078,0.050300457809633145,-0.015444940230489862,-0.030751489306981482,0.041094585025855834
2024-04-02,0.18248119689986414,0.27890534804670364,0.2868591376516574,0.2580330489392578,0.18259200377972232,0.12280888598561866,0.17689560911421795,0.05540730414361757,0.13260405326280908,0.14688665205481538,0.10635075727781781,-0.003913481656855816,-0.06979180091473712,-0.09724049454712556,0.025223186856209896,0.09844661439252758,0.08957546974947252,0.04319296717257625,-0.02641837772442052,-0.07624324948294446,0.03996400103211177,0.1097710633671369,0.1009902433114279,0.06839784011340043,0.004930146208903089,0.001279329890499805,0.061240510314382546
2024-04-03,0.1511574773039887,0.2320311673577479,0.2640918232797517,0.22088224678647306,0.14453065074700136,0.1010836821294184,0.15140584106162197,0.033570203460441525,0.1051992387446784,0.11607263093390503,0.07921767587565147,0.004265396576669231,-0.021314777015924408,-0.043704461689613866,0.00982745065254724,0.09420876762153704,0.09727673492091701,0.06836575492373834,0.02339649446872319,-0.007150104073566699,0.034387710597909474,0.11330682479065039,0.09939150469518987,0.05999290161988699,0.0014109221400633015,0.00654566713102157,0.06431721933781992
2024-04-04,0.13501571432402884,0.210079153033934,0.23163077589860748,0.19948485264597934,0.1337838464139922,0.0897379667621159,0.13889515728355806,0.033642808758627955,0.1036272933464883,0.10612190586266323,0.05570334344038199,-0.016874996614837393,-0.024940114957532695,-0.04805890657243786,-0.0004980664731000246,0.09446580939020087,0.0876792193194775,0.04024258626119559,-0.007829872110597566,-0.008548554857337253,0.02754862747306142,0.10700933208554586,0.09241192846254576,0.049319705511526,0.0009168565114628588,0.007716825233640933,0.06936633293717323
2024-04-05,0.16217858525510676,0.2602943041649528,0.2639385982051635,0.22451113408386592,0.11718442824726323,0.050828713520560516,0.09601868817510129,0.07351807305267768,0.1208017343854838,0.11409771699200018,0.057649230570878264,-0.025164551351066114,-0.045875646075210684,-0.07046870184396078,-0.06219043722979122,0.05329174411608122,0.04750408194629609,-0.012565268318920415,-0.08849062910675622,-0.08716363025667015,0.0479207921505902,0.10832989427645581,0.09408509984440606,0.052142796641758166,0.003557848383756497,0.008834570828274485,0.044448448862514194
2024-04-08,0.2316228294093659,0.3329754783077393,0.29633614959467325,0.21331722804761127,0.07706280042596368,0.006123527434650451,0.024070771360714924,0.07148367236764942,0.1300631115492563,0.1295006026059637,0.07276305004618977,-0.03267526114488721,-0.07585963908065506,-0.10393015913066048,-0.05769069550773331,0.06613671509096444,0.06313465257755681,-0.006968881882845147,-0.1154279275538228,-0.12850287436060512,0.05700215929048752,0.12246296769027998,0.10564076522313091,0.04881421077106127,-0.0030201147198398327,-0.007742982205593527,0.03409772277916254
2024-04-09,0.24818966992736521,0.3647137464808514,0.33686036402971997,0.24759638257507816,0.08700754417228798,-0.01108105846421575,0.01906157234814617,0.0688484365487358,0.13663047702035772,0.14443856997748147,0.09675677188616631,-0.017959006249785966,-0.08811248731034982,-0.12040638079142184,-0.04597304830462083,0.10701960223022572,0.1140072486987422,0.04729912525839809,-0.0747067423075419,-0.1110599522845958,0.05291715175880462,0.12507506138687444,0.10479993551826614,0.04509441008910792,0.008750042362233399,0.0012063356009948678,0.047235869314407236
