date,PC1_cos,PC2_cos,PC3_cos
2005-08-25,,,
2005-08-26,0.9999822703294992,0.999611400774086,0.9996592047530661
2005-08-29,0.9999923029881649,0.9998857301997706,0.9998418095955746
2005-08-30,0.9998453297510089,0.99694283906182,0.9972143676529326
2005-08-31,0.9999615008646617,0.9999044163984518,0.9998471457972187
2005-09-01,0.999852914765567,0.9984286067226749,0.9979368829357466
2005-09-02,0.9999784519908754,0.9997955926123998,0.9998004585818188
2005-09-05,0.9999958945195786,0.9998798671400415,0.9999643430317862
2005-09-06,0.999960519534137,0.998540756628812,0.9984137689554157
2005-09-07,0.9999533959109648,0.9985097526211651,0.9985133433385872
2005-09-08,0.9999979526402195,0.9999781909993639,0.9999620455118265
2005-09-09,0.9999995760860309,0.9999751773703912,0.9999905923788079
2005-09-12,0.9999959219899051,0.9999671811098786,0.9999682623499823
2005-09-13,0.9998704123433095,0.9997651757057979,0.9994349104689304
2005-09-14,0.9999303937317259,0.9991094298920763,0.9992602989569088
2005-09-15,0.9999993133283407,0.9999974818681157,0.9999873838657317
2005-09-16,0.9999931898281563,0.9999669274388152,0.999998357292749
2005-09-19,0.99997732384369,0.9999647312810572,0.999822909349227
2005-09-20,0.9999984835456213,0.9999880685604127,0.9999840484465712
2005-09-21,0.9999882641587778,0.9999620493373778,0.9998469211184962
2005-09-22,0.9998616448769415,0.9987519887074631,0.9989381583406083
2005-09-23,0.9999560816371167,0.9995561040290559,0.9995703913709363
2005-09-26,0.9999938266087154,0.9995760566181927,0.9995574520115214
2005-09-27,0.9998073412015208,0.9997040123891603,0.9997823109504593
2005-09-28,0.9999732798999943,0.9997412291601653,0.9996958265000941
2005-09-29,0.9999766928813563,0.9989931254363328,0.9994853065071088
2005-09-30,0.9999100844946482,0.9994469639012348,0.9994773258189757
2005-10-03,0.9999917726342438,0.9999576028104485,0.9999664505034143
2005-10-04,0.9999750221629048,0.9999778719055252,0.9999704944833152
2005-10-05,0.9999541194027441,0.9992061080604568,0.999293965022914
2005-10-06,0.9999963984560478,0.999692892329674,0.999714934724985
2005-10-07,0.999997091174833,0.9999277274737772,0.9999390344108166
2005-10-10,0.9999776274387984,0.9997105549576437,0.999754244374875
2005-10-11,0.9999951187891714,0.9999660370431019,0.9999936575542712
